"Name","JobType","LastResult","LastState","ObjectsCount","Repository","InWindow","WANAcc"
"zPowerShellDemoJob","VMware Backup","None","Stopped","0","ReFS-PerVM","True","False"
"HomePCs Policy","Windows Agent Policy","Failed","Stopped","1","NTFS-Bulk","True","False"
"vcenter_repl","VMware Replication","Success","Stopped","1","ReFS-PerVM","True","False"
"Replication Test_clone1","VMware Replication","Failed","Stopped","6","ReFS-PerVM","True","False"
"DomainControllers","VMware Backup","Success","Stopped","2","ReFS-PerVM","True","False"
"SQLLogTest","VMware Backup","Failed","Stopped","1","ReFS-PerVM","True","False"
"Backup Copy Job 1","VMware Backup Copy","Success","Stopped","0","NTFS-Bulk","True","False"
"AUSVCENTER-TagTest","VMware Backup","Success","Stopped","1","ReFS-PerVM","True","False"
"AUSVCENTER-NoTag","VMware Backup","Success","Stopped","5","ReFS-PerVM","True","False"
"vCenterServers","VMware Backup","Success","Stopped","1","ReFS-PerVM","True","False"
"HyperV","Hyper-V Backup","Success","Stopped","1","NTFS-Bulk","True","False"
"AgentExclude","Windows Agent Backup","None","Stopped","1","ReFS-PerVM","True","False"
"Workstation Agent Backup Policy","Windows Agent Policy","Failed","Stopped","1","NTFS-Bulk","True","False"
"SOBRBackupTest","VMware Backup","Success","Stopped","3","SOBR_Test","True","False"
