"BackupJob","VMName","Timestamp","BackupSize(GB)","BackupCost($)"
"DomainControllers","ausdc02","6/1/2020 00:25:14","0.08","0.01"
"DomainControllers","ausdc02","5/31/2020 16:25:19","0.09","0.01"
"DomainControllers","ausdc02","5/31/2020 12:25:28","0.09","0.01"
"DomainControllers","ausdc02","5/31/2020 20:25:16","0.08","0.01"
"DomainControllers","ausdc02","6/2/2020 08:25:16","0.28","0.04"
"DomainControllers","ausdc02","6/2/2020 00:25:19","0.08","0.01"
"DomainControllers","ausdc02","5/31/2020 04:25:15","0.08","0.01"
"DomainControllers","ausdc02","5/31/2020 00:25:13","0.08","0.01"
"DomainControllers","ausdc02","5/30/2020 04:25:22","0.11","0.02"
"DomainControllers","ausdc02","5/30/2020 16:25:31","0.08","0.01"
"DomainControllers","ausdc02","6/1/2020 08:25:29","0.11","0.02"
"DomainControllers","ausdc02","6/1/2020 12:25:17","0.08","0.01"
"DomainControllers","ausdc02","5/30/2020 08:25:10","0.09","0.01"
"DomainControllers","ausdc02","6/1/2020 04:25:31","0.09","0.01"
"DomainControllers","ausdc02","5/30/2020 00:25:24","5.31","0.8"
"DomainControllers","ausdc02","6/1/2020 20:25:27","0.07","0.01"
"DomainControllers","ausdc02","5/30/2020 12:25:10","0.1","0.02"
"DomainControllers","ausdc02","6/2/2020 04:25:15","0.07","0.01"
"DomainControllers","ausdc02","5/31/2020 08:25:13","0.3","0.04"
"DomainControllers","ausdc02","5/30/2020 20:25:32","0.08","0.01"
"DomainControllers","ausdc02","6/2/2020 12:25:26","0.11","0.02"
"DomainControllers","ausdc02","6/1/2020 16:25:23","0.08","0.01"
"DomainControllers","ausdc01","5/31/2020 08:25:13","0.28","0.04"
"DomainControllers","ausdc01","5/31/2020 16:25:19","0.08","0.01"
"DomainControllers","ausdc01","5/30/2020 08:25:10","0.09","0.01"
"DomainControllers","ausdc01","5/30/2020 04:25:22","0.1","0.02"
"DomainControllers","ausdc01","6/2/2020 00:25:19","0.08","0.01"
"DomainControllers","ausdc01","5/31/2020 00:25:13","0.07","0.01"
"DomainControllers","ausdc01","6/1/2020 08:25:29","0.09","0.01"
"DomainControllers","ausdc01","6/2/2020 08:25:16","0.28","0.04"
"DomainControllers","ausdc01","5/30/2020 00:25:24","7.55","1.13"
"DomainControllers","ausdc01","5/31/2020 04:25:15","0.1","0.02"
"DomainControllers","ausdc01","6/2/2020 12:25:26","0.08","0.01"
"DomainControllers","ausdc01","5/30/2020 20:25:32","0.07","0.01"
