"Full/Inc","FileName","CreationTime","Job Name","Hostname","BackupSize(GB)","FilePath","Job Type","IsAvailable","Status","DataSize(GB)"
"Full","veeampoc1.vm-14857D2019-09-10T102900_6001.vbk","9/10/2019 10:30:07","PowerShellOptions","veeampoc1","27.7654","D:\Backups\RPOC Stash\veeampoc1.vm-14857D2019-09-10T102900_6001.vbk","VMware Backup","True","Successful","220"
"Full","veeampoc-tmp.vm-14462D2019-09-10T102900_D4D4.vbk","9/10/2019 10:29:15","PowerShellOptions","veeampoc-tmp","45.4672","D:\Backups\RPOC Stash\veeampoc-tmp.vm-14462D2019-09-10T102900_D4D4.vbk","VMware Backup","True","Successful","160"
"Full","ausveeamdeploy.vm-14237D2019-09-10T142830_04E1.vbk","9/10/2019 14:36:17","PowerShellOptions","ausveeamdeploy","19.239","D:\Backups\RPOC Stash\ausveeamdeploy.vm-14237D2019-09-10T142830_04E1.vbk","VMware Backup","True","Successful","120.0001"
"Full","member.vm-461D2020-05-23T220154_3EB3.vbk","5/23/2020 22:00:33","SOBRBackupTest","member","6.7953","member.vm-461D2020-05-23T220154_3EB3.vbk","VMware Backup","True","Successful","40"
"Full","client.vm-460D2020-05-23T220154_1916.vbk","5/23/2020 22:00:33","SOBRBackupTest","client","7.4377","client.vm-460D2020-05-23T220154_1916.vbk","VMware Backup","True","Successful","32.0003"
"Full","DC.vm-470D2020-05-23T220154_91BF.vbk","5/23/2020 22:00:33","SOBRBackupTest","DC","6.2092","DC.vm-470D2020-05-23T220154_91BF.vbk","VMware Backup","True","Successful","40"
"Increment","member.vm-461D2020-05-24T220016_1AD9.vib","5/24/2020 22:00:32","SOBRBackupTest","member","0.017","member.vm-461D2020-05-24T220016_1AD9.vib","VMware Backup","True","Successful","0"
"Increment","DC.vm-470D2020-05-24T220016_D06B.vib","5/24/2020 22:00:31","SOBRBackupTest","DC","0.017","DC.vm-470D2020-05-24T220016_D06B.vib","VMware Backup","True","Successful","0"
"Increment","client.vm-460D2020-05-24T220016_331F.vib","5/24/2020 22:00:31","SOBRBackupTest","client","0.017","client.vm-460D2020-05-24T220016_331F.vib","VMware Backup","True","Successful","0.0003"
"Increment","DC.vm-470D2020-05-25T220020_4C36.vib","5/25/2020 22:00:34","SOBRBackupTest","DC","0.017","DC.vm-470D2020-05-25T220020_4C36.vib","VMware Backup","True","Successful","0"
"Increment","member.vm-461D2020-05-25T220020_CB88.vib","5/25/2020 22:00:36","SOBRBackupTest","member","0.017","member.vm-461D2020-05-25T220020_CB88.vib","VMware Backup","True","Successful","0"
"Increment","client.vm-460D2020-05-25T220020_46DE.vib","5/25/2020 22:00:34","SOBRBackupTest","client","0.017","client.vm-460D2020-05-25T220020_46DE.vib","VMware Backup","True","Successful","0.0003"
"Increment","client.vm-460D2020-05-27T220026_84F7.vib","5/27/2020 22:00:47","SOBRBackupTest","client","0.017","client.vm-460D2020-05-27T220026_84F7.vib","VMware Backup","True","Successful","0.0003"
"Increment","DC.vm-470D2020-05-27T220026_98CE.vib","5/27/2020 22:00:42","SOBRBackupTest","DC","0.017","DC.vm-470D2020-05-27T220026_98CE.vib","VMware Backup","True","Successful","0"
"Increment","member.vm-461D2020-05-27T220026_FB29.vib","5/27/2020 22:00:43","SOBRBackupTest","member","0.017","member.vm-461D2020-05-27T220026_FB29.vib","VMware Backup","True","Successful","0"
"Increment","client.vm-460D2020-05-28T220012_1A79.vib","5/28/2020 22:00:33","SOBRBackupTest","client","0.017","client.vm-460D2020-05-28T220012_1A79.vib","VMware Backup","True","Successful","0.0003"
"Increment","member.vm-461D2020-05-28T220012_B51D.vib","5/28/2020 22:00:29","SOBRBackupTest","member","0.017","member.vm-461D2020-05-28T220012_B51D.vib","VMware Backup","True","Successful","0"
"Increment","DC.vm-470D2020-05-28T220012_79C0.vib","5/28/2020 22:00:27","SOBRBackupTest","DC","0.017","DC.vm-470D2020-05-28T220012_79C0.vib","VMware Backup","True","Successful","0"
