"Hostname","CreationTime","Job Name","BackupSize(GB)","DataSize(GB)","Full/Inc","Status","Job Type","FileName","IsAvailable","FilePath"
"veeampoc1","9/10/2019 10:30:07","PowerShellOptions","27.7654","220","Full","Successful","VMware Backup","veeampoc1.vm-14857D2019-09-10T102900_6001.vbk","True","D:\Backups\RPOC Stash\veeampoc1.vm-14857D2019-09-10T102900_6001.vbk"
"veeampoc-tmp","9/10/2019 10:29:15","PowerShellOptions","45.4672","160","Full","Successful","VMware Backup","veeampoc-tmp.vm-14462D2019-09-10T102900_D4D4.vbk","True","D:\Backups\RPOC Stash\veeampoc-tmp.vm-14462D2019-09-10T102900_D4D4.vbk"
"ausveeamdeploy","9/10/2019 14:36:17","PowerShellOptions","19.239","120.0001","Full","Successful","VMware Backup","ausveeamdeploy.vm-14237D2019-09-10T142830_04E1.vbk","True","D:\Backups\RPOC Stash\ausveeamdeploy.vm-14237D2019-09-10T142830_04E1.vbk"
"member","5/23/2020 22:00:33","SOBRBackupTest","6.7953","40","Full","Successful","VMware Backup","member.vm-461D2020-05-23T220154_3EB3.vbk","True","member.vm-461D2020-05-23T220154_3EB3.vbk"
"client","5/23/2020 22:00:33","SOBRBackupTest","7.4377","32.0003","Full","Successful","VMware Backup","client.vm-460D2020-05-23T220154_1916.vbk","True","client.vm-460D2020-05-23T220154_1916.vbk"
"DC","5/23/2020 22:00:33","SOBRBackupTest","6.2092","40","Full","Successful","VMware Backup","DC.vm-470D2020-05-23T220154_91BF.vbk","True","DC.vm-470D2020-05-23T220154_91BF.vbk"
"member","5/24/2020 22:00:32","SOBRBackupTest","0.017","0","Increment","Successful","VMware Backup","member.vm-461D2020-05-24T220016_1AD9.vib","True","member.vm-461D2020-05-24T220016_1AD9.vib"
"DC","5/24/2020 22:00:31","SOBRBackupTest","0.017","0","Increment","Successful","VMware Backup","DC.vm-470D2020-05-24T220016_D06B.vib","True","DC.vm-470D2020-05-24T220016_D06B.vib"
"client","5/24/2020 22:00:31","SOBRBackupTest","0.017","0.0003","Increment","Successful","VMware Backup","client.vm-460D2020-05-24T220016_331F.vib","True","client.vm-460D2020-05-24T220016_331F.vib"
"DC","5/25/2020 22:00:34","SOBRBackupTest","0.017","0","Increment","Successful","VMware Backup","DC.vm-470D2020-05-25T220020_4C36.vib","True","DC.vm-470D2020-05-25T220020_4C36.vib"
"member","5/25/2020 22:00:36","SOBRBackupTest","0.017","0","Increment","Successful","VMware Backup","member.vm-461D2020-05-25T220020_CB88.vib","True","member.vm-461D2020-05-25T220020_CB88.vib"
"client","5/25/2020 22:00:34","SOBRBackupTest","0.017","0.0003","Increment","Successful","VMware Backup","client.vm-460D2020-05-25T220020_46DE.vib","True","client.vm-460D2020-05-25T220020_46DE.vib"
