"JobName","VMName","Status","IsRetry","ProcessingMode","JobDuration","TaskDuration","TaskAlgorithm","CreationTime","BackupSize(GB)","DataSize(GB)","DedupRatio","CompressRatio","BottleneckDetails","PrimaryBottleneck"
"AUSVCENTER-TagTest","ausveeambem","Failed","True","","00:01:55.3760000","","Full","9/4/2019 17:30:06","0.0411","0","0","0","",""
"AUSVCENTER-TagTest","ausdev01","Failed","True","","00:01:55.3760000","","Full","9/4/2019 17:30:06","0.0411","0","0","0","",""
"DomainControllers","ausdc01","Success","False","hotadd","00:20:10.2230000","00:01:08.2236897","Increment","12/25/2019 16:25:14","0.6062","1.7749","87","38","Source 16% > Proxy 99% > Network 54% > Target 2%","Proxy"
"DomainControllers","coredc01","Warning","False","hotadd","00:20:10.2230000","00:01:40.7724588","Increment","12/25/2019 16:25:14","0.6062","1.7749","87","38","Source 79% > Proxy 91% > Network 19% > Target 0%","Proxy"
"AUSVCENTER-NoTag","ausjump01","Success","False","hotadd","00:10:21.4740000","00:00:01.7655997","Increment","6/25/2019 16:05:18","1.6323","4.1657","99","39","Source 31% > Proxy 50% > Network 60% > Target 1%","Network"
"AUSVCENTER-NoTag","ausveeambem","Success","False","hotadd","00:10:21.4740000","00:02:22.0286148","Increment","6/25/2019 16:05:18","1.6323","4.1657","99","39","Source 88% > Proxy 20% > Network 20% > Target 0%","Source"
"AUSVCENTER-NoTag","ausdev01","Success","False","hotadd","00:10:21.4740000","00:01:46.2012691","Increment","6/25/2019 16:05:18","1.6323","4.1657","99","39","Source 96% > Proxy 7% > Network 13% > Target 0%","Source"
"AUSVCENTER-NoTag","ausveeambr","Success","False","nbd","00:10:21.4740000","00:01:06.4051180","Increment","6/25/2019 16:05:18","1.6323","4.1657","99","39","Source 99% > Proxy 11% > Network 3% > Target 0%","Source"
"DomainControllers","ausdc01","Success","False","hotadd","00:26:32.2930000","00:02:03.1088566","Increment","9/20/2019 00:25:16","0.3517","1.0405","99","33","Source 98% > Proxy 12% > Network 10% > Target 0%","Source"
"DomainControllers","coredc01","Success","False","hotadd","00:26:32.2930000","00:02:02.1558444","Increment","9/20/2019 00:25:16","0.3517","1.0405","99","33","Source 91% > Proxy 33% > Network 22% > Target 0%","Source"
"vCenterServers","ausvcenter","Failed","False","","00:09:02.5140000","","Full","8/11/2019 19:00:09","0.8895","3.5411","95","26","",""
"vCenterServers","corevcenter","Success","False","hotadd","00:09:02.5140000","00:00:38.0309358","Increment","8/11/2019 19:00:09","0.8895","3.5411","95","26","Source 61% > Proxy 49% > Network 28% > Target 6%","Source"
"AUSVCENTER-TagTest","ausveeambem","Success","False","hotadd","00:10:27.3360000","00:04:04.9864399","Increment","8/14/2019 05:05:11","2.984","7.6029","97","40","Source 99% > Proxy 4% > Network 2% > Target 0%","Source"
"AUSVCENTER-TagTest","ausjump01","Success","False","hotadd","00:10:27.3360000","00:02:03.8448065","Increment","8/14/2019 05:05:11","2.984","7.6029","97","40","Source 99% > Proxy 4% > Network 1% > Target 0%","Source"
"AUSVCENTER-TagTest","ausdev01","Success","False","hotadd","00:10:27.3360000","00:01:39.0634268","Increment","8/14/2019 05:05:11","2.984","7.6029","97","40","Source 99% > Proxy 3% > Network 2% > Target 0%","Source"
"DomainControllers","ausdc01","Failed","True","hotadd","00:46:10.9930000","00:00:03.0678935","Increment","12/17/2019 20:53:12","3.3209","11.4053","80","36","Source 47% > Proxy 76% > Network 34% > Target 8%","Proxy"
"AUSVCENTER-TagTest","ausveeambem","Success","False","hotadd","00:04:53.8030000","00:01:43.0119906","Increment","9/26/2019 17:05:20","2.9093","6.887","98","43","Source 96% > Proxy 23% > Network 17% > Target 2%","Source"
"AUSVCENTER-TagTest","ausjump01","Success","False","hotadd","00:04:53.8030000","00:00:26.8173424","Increment","9/26/2019 17:05:20","2.9093","6.887","98","43","Source 97% > Proxy 18% > Network 15% > Target 0%","Source"
