"VMName","RestorePointCreationTime","BackupType","BackupCorrupted","RestorePointId","DatabaseName","DatabaseServerName","DatabaseInstanceName","SystemDB","ReadOnly","BackedUp","Heuristic","AvailabilityGroupName","RecoveryModel","DatabaseID","RestoreIntervalStart","RestoreIntervalEnd","DatabaseFilePath","DatabaseFileType"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","AdventureWorks2014","AUSSQL2K14","","False","False","True","False",,"Simple","e2a315d0-f5a0-4123-9095-e75721ab8b39","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\AdventureWorks2014_Data.mdf","Primary"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","AdventureWorks2014","AUSSQL2K14","","False","False","True","False",,"Simple","e2a315d0-f5a0-4123-9095-e75721ab8b39","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\AdventureWorks2014_Log.ldf","Secondary"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","ReportServer","AUSSQL2K14","","False","False","True","False",,"Full","b3cb5582-2092-4f4f-9ffa-69dff9fa2eab","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServer.mdf","Primary"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","ReportServer","AUSSQL2K14","","False","False","True","False",,"Full","b3cb5582-2092-4f4f-9ffa-69dff9fa2eab","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServer_log.ldf","Secondary"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","ReportServerTempDB","AUSSQL2K14","","False","False","True","False",,"Simple","eac01534-9ebe-4c50-8add-3b8df21e2dcd","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServerTempDB.mdf","Primary"
"aussql2k14","2/7/2020 13:21:43","Full","False","a2e60696-0f58-435e-96d3-5c984cc2187d","ReportServerTempDB","AUSSQL2K14","","False","False","True","False",,"Simple","eac01534-9ebe-4c50-8add-3b8df21e2dcd","2/7/2020 19:21:38","2/7/2020 19:21:38","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServerTempDB_log.ldf","Secondary"
"aussql2k14","2/7/2020 13:54:39","Increment","False","0b0c144c-11b0-477f-a4ab-fa8a98d3c6d7","AdventureWorks2014","AUSSQL2K14","","False","False","False","False",,"Unknown","00000000-0000-0000-0000-000000000000","No Restore Interval","No Restore Interval","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\AdventureWorks2014_Data.mdf","Primary"
"aussql2k14","2/7/2020 13:54:39","Increment","False","0b0c144c-11b0-477f-a4ab-fa8a98d3c6d7","AdventureWorks2014","AUSSQL2K14","","False","False","False","False",,"Unknown","00000000-0000-0000-0000-000000000000","No Restore Interval","No Restore Interval","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\AdventureWorks2014_Log.ldf","Secondary"
"aussql2k14","2/7/2020 13:54:39","Increment","False","0b0c144c-11b0-477f-a4ab-fa8a98d3c6d7","ReportServer","AUSSQL2K14","","False","False","False","False",,"Unknown","00000000-0000-0000-0000-000000000000","No Restore Interval","No Restore Interval","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServer.mdf","Primary"
"aussql2k14","2/7/2020 13:54:39","Increment","False","0b0c144c-11b0-477f-a4ab-fa8a98d3c6d7","ReportServer","AUSSQL2K14","","False","False","False","False",,"Unknown","00000000-0000-0000-0000-000000000000","No Restore Interval","No Restore Interval","F:\Program Files\Microsoft SQL Server\MSSQL12.VEEAMSQLTEST\MSSQL\DATA\ReportServer_log.ldf","Secondary"
