#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","ScheduledMatch","BackupModeMatch","FullEnabledMatch","AutoProxyMatch","ProxiesMatch","RepositoryMatch","RestorePointsMatch","DeduplicationMatch","CompressionMatch","StorageOptimizationMatch","RemoveDeletedVMsMatch","DeletedVMRetentionMatch","CBTEnabledMatch","QuiesceVMToolsMatch","IntegrityChecksMatch","SetVMNotesMatch","VMAttributeMatch","VSSEnabledMatch","IndexGuestFSMatch"
"AUSVCENTER-NoTag","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB","REFJOB"
"zPowerShellDemoJob-2","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"zPowerShellDemoJob-6","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"zPowerShellDemoJob-7","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"zPowerShellDemoJob","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"zPowerShellDemoJob-4","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"zPowerShellDemoJob-1","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"DomainControllers","True","True","True","False","False","True","False","True","True","True","True","True","True","True","True","True","True","True","False"
"SQLLogTest","True","True","True","True","False","True","False","True","True","True","True","True","True","True","True","True","True","True","True"
"AUSVCENTER-TagTest","True","True","True","True","False","True","True","True","True","True","True","True","True","True","True","True","True","False","False"
"zPowerShellDemoJob-3","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
"vCenterServers","True","True","True","False","False","True","False","True","True","True","True","True","True","True","True","True","True","False","False"
"HyperV","True","True","True","False","False","False","False","True","True","True","False","True","True","False","True","False","False","True","False"
"SOBRBackupTest","True","True","False","False","False","False","False","True","True","True","True","True","True","True","True","True","True","False","False"
"zPowerShellDemoJob-5","True","True","True","False","False","True","False","True","True","True","False","True","True","False","True","False","False","False","False"
