#TYPE Veeam.JobQuickConfig
"Name","Scheduled","BackupMode","FullEnabled","AutoProxy","Proxies","Repository","RestorePoints","Deduplication","Compression","StorageOptimization","RemoveDeletedVMs","DeletedVMRetention","CBTEnabled","QuiesceVMTools","IntegrityChecks","SetVMNotes","VMAttribute","VSSEnabled","IndexGuestFS"
"zPowerShellDemoJob-2","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"zPowerShellDemoJob-6","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"zPowerShellDemoJob-7","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"zPowerShellDemoJob","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"zPowerShellDemoJob-4","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"zPowerShellDemoJob-1","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"DomainControllers","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","True","Disabled"
"SQLLogTest","True","Increment","True","False","ausveeampxy01.lab.fullstackgeek.net","ReFS-PerVM","42","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","True","Enabled"
"AUSVCENTER-TagTest","True","Increment","True","False","ausveeampxy01.lab.fullstackgeek.net","ReFS-PerVM","4","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","False","Disabled"
"zPowerShellDemoJob-3","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
"AUSVCENTER-NoTag","True","Increment","True","False","ausveeampxy02.lab.fullstackgeek.net;ausveeampxy01.lab.fullstackgeek.net","ReFS-PerVM","4","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","True","Enabled"
"vCenterServers","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","5","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","False","Disabled"
"HyperV","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","NTFS-Bulk","14","True","Optimal","Local Target","False","14","True","False","True","False","Notes","True","Disabled"
"SOBRBackupTest","True","Increment","False","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","SOBR_Test","7","True","Optimal","Local Target","True","14","True","True","True","True","Veeam_Backup_Time","False","Disabled"
"zPowerShellDemoJob-5","True","Increment","True","True","ausveeampxy01.lab.fullstackgeek.net;VMware Backup Proxy;ausveeampxy02.lab.fullstackgeek.net","ReFS-PerVM","7","True","Optimal","Local Target","False","14","True","False","True","False","Notes","False","Disabled"
